CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Monday, Jul 08 2019",,
Time: 02:59:46 PM,,
State,Delhi,
City,Delhi,
Station,"Rohini, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,27-06-2019T00:00:00Z 00:00,
To,03-07-2019T12:00:59Z 00:00,
,,
"Rohini, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
29-06-2019 23:15,29-06-2019 23:30,75
29-06-2019 23:30,29-06-2019 23:45,75
29-06-2019 23:45,30-06-2019 00:00,75
30-06-2019 00:00,30-06-2019 00:15,68
30-06-2019 00:15,30-06-2019 00:30,68
30-06-2019 00:30,30-06-2019 00:45,68
30-06-2019 00:45,30-06-2019 01:00,68
30-06-2019 01:00,30-06-2019 01:15,80
30-06-2019 01:15,30-06-2019 01:30,80
30-06-2019 01:30,30-06-2019 01:45,80
30-06-2019 01:45,30-06-2019 02:00,80
30-06-2019 02:00,30-06-2019 02:15,86
30-06-2019 02:15,30-06-2019 02:30,86
30-06-2019 02:30,30-06-2019 02:45,86
30-06-2019 02:45,30-06-2019 03:00,86
30-06-2019 03:00,30-06-2019 03:15,75
30-06-2019 03:15,30-06-2019 03:30,75
30-06-2019 03:30,30-06-2019 03:45,75
30-06-2019 03:45,30-06-2019 04:00,None
30-06-2019 04:00,30-06-2019 04:15,118
30-06-2019 04:15,30-06-2019 04:30,118
30-06-2019 04:30,30-06-2019 04:45,None
30-06-2019 04:45,30-06-2019 05:00,129
30-06-2019 05:00,30-06-2019 05:15,129
30-06-2019 05:15,30-06-2019 05:30,129
30-06-2019 05:30,30-06-2019 05:45,None
30-06-2019 05:45,30-06-2019 06:00,146
30-06-2019 06:00,30-06-2019 06:15,146
30-06-2019 06:15,30-06-2019 06:30,146
30-06-2019 06:30,30-06-2019 06:45,None
30-06-2019 06:45,30-06-2019 07:00,45
30-06-2019 07:00,30-06-2019 07:15,45
30-06-2019 07:15,30-06-2019 07:30,45
30-06-2019 07:30,30-06-2019 07:45,None
30-06-2019 07:45,30-06-2019 08:00,31
