CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 09 2019",,
Time: 09:58:04 AM,,
State,Delhi,
City,Delhi,
Station,"DTU, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,01-07-2019T00:00:00Z 00:00,
To,09-07-2019T09:57:59Z 00:00,
,,
"DTU, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
02-07-2019 02:45,02-07-2019 03:00,59.9
02-07-2019 03:00,02-07-2019 03:15,69.45
02-07-2019 03:15,02-07-2019 03:30,70.71
02-07-2019 03:30,02-07-2019 03:45,70.71
02-07-2019 03:45,02-07-2019 04:00,70.71
02-07-2019 04:00,02-07-2019 04:15,70.67
02-07-2019 04:15,02-07-2019 04:30,70.67
02-07-2019 04:30,02-07-2019 04:45,70.67
02-07-2019 04:45,02-07-2019 05:00,70.67
02-07-2019 05:00,02-07-2019 05:15,57.9
02-07-2019 05:15,02-07-2019 05:30,56.22
02-07-2019 05:30,02-07-2019 05:45,56.22
02-07-2019 05:45,02-07-2019 06:00,56.22
02-07-2019 06:00,02-07-2019 06:15,51.54
02-07-2019 06:15,02-07-2019 06:30,50.92
02-07-2019 06:30,02-07-2019 06:45,50.92
02-07-2019 06:45,02-07-2019 07:00,50.92
02-07-2019 07:00,02-07-2019 07:15,53.85
02-07-2019 07:15,02-07-2019 07:30,54.23
02-07-2019 07:30,02-07-2019 07:45,54.23
02-07-2019 07:45,02-07-2019 08:00,54.23
02-07-2019 08:00,02-07-2019 08:15,68.75
02-07-2019 08:15,02-07-2019 08:30,70.64
02-07-2019 08:30,02-07-2019 08:45,70.64
02-07-2019 08:45,02-07-2019 09:00,70.64
02-07-2019 09:00,02-07-2019 09:15,49.49
02-07-2019 09:15,02-07-2019 09:30,46.71
02-07-2019 09:30,02-07-2019 09:45,46.71
02-07-2019 09:45,02-07-2019 10:00,46.71
02-07-2019 10:00,02-07-2019 10:15,42.44
02-07-2019 10:15,02-07-2019 10:30,41.86
02-07-2019 10:30,02-07-2019 10:45,41.86
02-07-2019 10:45,02-07-2019 11:00,41.86
02-07-2019 11:00,02-07-2019 11:15,49.33
02-07-2019 11:15,02-07-2019 11:30,50.3
02-07-2019 11:30,02-07-2019 11:45,50.3
02-07-2019 11:45,02-07-2019 12:00,50.3
02-07-2019 12:00,02-07-2019 12:15,73.13
02-07-2019 12:15,02-07-2019 12:30,76.1
02-07-2019 12:30,02-07-2019 12:45,76.1
02-07-2019 12:45,02-07-2019 13:00,76.1
02-07-2019 13:00,02-07-2019 13:15,82.71
02-07-2019 13:15,02-07-2019 13:30,83.57
02-07-2019 13:30,02-07-2019 13:45,83.57
02-07-2019 13:45,02-07-2019 14:00,83.57
02-07-2019 14:00,02-07-2019 14:15,76.4
02-07-2019 14:15,02-07-2019 14:30,75.44
02-07-2019 14:30,02-07-2019 14:45,75.44
02-07-2019 14:45,02-07-2019 15:00,75.44
02-07-2019 15:00,02-07-2019 15:15,73.25
02-07-2019 15:15,02-07-2019 15:30,72.97
02-07-2019 15:30,02-07-2019 15:45,72.97
02-07-2019 15:45,02-07-2019 16:00,72.97
02-07-2019 16:00,02-07-2019 16:15,72.09
02-07-2019 16:15,02-07-2019 16:30,71.97
02-07-2019 16:30,02-07-2019 16:45,71.97
02-07-2019 16:45,02-07-2019 17:00,71.97
02-07-2019 17:00,02-07-2019 17:15,69.64
02-07-2019 17:15,02-07-2019 17:30,69.33
02-07-2019 17:30,02-07-2019 17:45,69.33
02-07-2019 17:45,02-07-2019 18:00,69.33
02-07-2019 18:00,02-07-2019 18:15,70.38
02-07-2019 18:15,02-07-2019 18:30,70.52
02-07-2019 18:30,02-07-2019 18:45,70.52
02-07-2019 18:45,02-07-2019 19:00,70.52
02-07-2019 19:00,02-07-2019 19:15,67.76
02-07-2019 19:15,02-07-2019 19:30,67.4
02-07-2019 19:30,02-07-2019 19:45,67.4
02-07-2019 19:45,02-07-2019 20:00,67.4
02-07-2019 20:00,02-07-2019 20:15,67.59
02-07-2019 20:15,02-07-2019 20:30,67.62
02-07-2019 20:30,02-07-2019 20:45,67.62
02-07-2019 20:45,02-07-2019 21:00,67.62
02-07-2019 21:00,02-07-2019 21:15,66.54
02-07-2019 21:15,02-07-2019 21:30,66.39
02-07-2019 21:30,02-07-2019 21:45,66.39
02-07-2019 21:45,02-07-2019 22:00,66.39
02-07-2019 22:00,02-07-2019 22:15,73.71
02-07-2019 22:15,02-07-2019 22:30,74.66
02-07-2019 22:30,02-07-2019 22:45,74.66
02-07-2019 22:45,02-07-2019 23:00,74.66
02-07-2019 23:00,02-07-2019 23:15,80.67
02-07-2019 23:15,02-07-2019 23:30,81.46
02-07-2019 23:30,02-07-2019 23:45,81.46
02-07-2019 23:45,03-07-2019 00:00,None
03-07-2019 00:00,03-07-2019 00:15,55.71
03-07-2019 00:15,03-07-2019 00:30,52.23
03-07-2019 00:30,03-07-2019 00:45,52.23
03-07-2019 00:45,03-07-2019 01:00,52.23
03-07-2019 01:00,03-07-2019 01:15,50.65
03-07-2019 01:15,03-07-2019 01:30,50.45
03-07-2019 01:30,03-07-2019 01:45,50.45
03-07-2019 01:45,03-07-2019 02:00,50.45
03-07-2019 02:00,03-07-2019 02:15,45.68
03-07-2019 02:15,03-07-2019 02:30,45.05
03-07-2019 02:30,03-07-2019 02:45,45.05
03-07-2019 02:45,03-07-2019 03:00,45.05
03-07-2019 03:00,03-07-2019 03:15,51.09
03-07-2019 03:15,03-07-2019 03:30,51.88
03-07-2019 03:30,03-07-2019 03:45,51.88
03-07-2019 03:45,03-07-2019 04:00,51.88
03-07-2019 04:00,03-07-2019 04:15,48.24
03-07-2019 04:15,03-07-2019 04:30,47.77
03-07-2019 04:30,03-07-2019 04:45,47.77
03-07-2019 04:45,03-07-2019 05:00,47.77
03-07-2019 05:00,03-07-2019 05:15,46.44
03-07-2019 05:15,03-07-2019 05:30,46.26
03-07-2019 05:30,03-07-2019 05:45,46.26
03-07-2019 05:45,03-07-2019 06:00,46.26
03-07-2019 06:00,03-07-2019 06:15,48.65
03-07-2019 06:15,03-07-2019 06:30,48.96
03-07-2019 06:30,03-07-2019 06:45,48.96
03-07-2019 06:45,03-07-2019 07:00,48.96
03-07-2019 07:00,03-07-2019 07:15,49.5
03-07-2019 07:15,03-07-2019 07:30,49.57
03-07-2019 07:30,03-07-2019 07:45,49.57
03-07-2019 07:45,03-07-2019 08:00,49.57
03-07-2019 08:00,03-07-2019 08:15,47.75
03-07-2019 08:15,03-07-2019 08:30,47.51
03-07-2019 08:30,03-07-2019 08:45,47.51
03-07-2019 08:45,03-07-2019 09:00,47.51
03-07-2019 09:00,03-07-2019 09:15,43.82
03-07-2019 09:15,03-07-2019 09:30,43.33
03-07-2019 09:30,03-07-2019 09:45,43.33
03-07-2019 09:45,03-07-2019 10:00,43.33
03-07-2019 10:00,03-07-2019 10:15,28.96
03-07-2019 10:15,03-07-2019 10:30,27.07
03-07-2019 10:30,03-07-2019 10:45,27.07
03-07-2019 10:45,03-07-2019 11:00,27.07
03-07-2019 11:00,03-07-2019 11:15,44.26
03-07-2019 11:15,03-07-2019 11:30,46.52
03-07-2019 11:30,03-07-2019 11:45,46.52
03-07-2019 11:45,03-07-2019 12:00,46.52
03-07-2019 12:00,03-07-2019 12:15,45.89
03-07-2019 12:15,03-07-2019 12:30,45.81
03-07-2019 12:30,03-07-2019 12:45,45.81
03-07-2019 12:45,03-07-2019 13:00,45.81
03-07-2019 13:00,03-07-2019 13:15,33.39
03-07-2019 13:15,03-07-2019 13:30,31.76
03-07-2019 13:30,03-07-2019 13:45,31.76
03-07-2019 13:45,03-07-2019 14:00,31.76
03-07-2019 14:00,03-07-2019 14:15,29.52
03-07-2019 14:15,03-07-2019 14:30,29.23
03-07-2019 14:30,03-07-2019 14:45,29.23
03-07-2019 14:45,03-07-2019 15:00,29.23
03-07-2019 15:00,03-07-2019 15:15,21.42
03-07-2019 15:15,03-07-2019 15:30,20.39
03-07-2019 15:30,03-07-2019 15:45,20.39
03-07-2019 15:45,03-07-2019 16:00,20.39
03-07-2019 16:00,03-07-2019 16:15,28.14
03-07-2019 16:15,03-07-2019 16:30,29.15
03-07-2019 16:30,03-07-2019 16:45,29.15
03-07-2019 16:45,03-07-2019 17:00,29.15
03-07-2019 17:00,03-07-2019 17:15,33.56
03-07-2019 17:15,03-07-2019 17:30,34.16
03-07-2019 17:30,03-07-2019 17:45,34.16
03-07-2019 17:45,03-07-2019 18:00,34.16
03-07-2019 18:00,03-07-2019 18:15,32.97
03-07-2019 18:15,03-07-2019 18:30,32.81
03-07-2019 18:30,03-07-2019 18:45,32.81
03-07-2019 18:45,03-07-2019 19:00,32.81
03-07-2019 19:00,03-07-2019 19:15,33.76
