CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Saturday, Jun 22 2019",,
Time: 09:40:43 AM,,
State,Delhi,
City,Delhi,
Station,"ITO, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,11-06-2019T00:00:00Z 00:00,
To,16-06-2019T00:00:59Z 00:00,
,,
"ITO, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
13-06-2019 01:15,13-06-2019 01:30,56
13-06-2019 01:30,13-06-2019 01:45,56
13-06-2019 01:45,13-06-2019 02:00,55
13-06-2019 02:00,13-06-2019 02:15,52
13-06-2019 02:15,13-06-2019 02:30,51
13-06-2019 02:30,13-06-2019 02:45,52
13-06-2019 02:45,13-06-2019 03:00,52
13-06-2019 03:00,13-06-2019 03:15,53
13-06-2019 03:15,13-06-2019 03:30,54
13-06-2019 03:30,13-06-2019 03:45,52
13-06-2019 03:45,13-06-2019 04:00,51
13-06-2019 04:00,13-06-2019 04:15,49
13-06-2019 04:15,13-06-2019 04:30,46
13-06-2019 04:30,13-06-2019 04:45,46
13-06-2019 04:45,13-06-2019 05:00,46
13-06-2019 05:00,13-06-2019 05:15,48
13-06-2019 05:15,13-06-2019 05:30,54
13-06-2019 05:30,13-06-2019 05:45,58
13-06-2019 05:45,13-06-2019 06:00,62
13-06-2019 06:00,13-06-2019 06:15,74
13-06-2019 06:15,13-06-2019 06:30,76
13-06-2019 06:30,13-06-2019 06:45,75
13-06-2019 06:45,13-06-2019 07:00,75
13-06-2019 07:00,13-06-2019 07:15,66
13-06-2019 07:15,13-06-2019 07:30,64
13-06-2019 07:30,13-06-2019 07:45,65
13-06-2019 07:45,13-06-2019 08:00,67
13-06-2019 08:00,13-06-2019 08:15,68
13-06-2019 08:15,13-06-2019 08:30,67
13-06-2019 08:30,13-06-2019 08:45,67
13-06-2019 08:45,13-06-2019 09:00,65
13-06-2019 09:00,13-06-2019 09:15,63
13-06-2019 09:15,13-06-2019 09:30,61
13-06-2019 09:30,13-06-2019 09:45,56
13-06-2019 09:45,13-06-2019 10:00,51
13-06-2019 10:00,13-06-2019 10:15,46
13-06-2019 10:15,13-06-2019 10:30,42
13-06-2019 10:30,13-06-2019 10:45,42
13-06-2019 10:45,13-06-2019 11:00,42
13-06-2019 11:00,13-06-2019 11:15,42
13-06-2019 11:15,13-06-2019 11:30,42
13-06-2019 11:30,13-06-2019 11:45,NAN
13-06-2019 11:45,13-06-2019 12:00,NAN
13-06-2019 12:00,13-06-2019 12:15,NAN
13-06-2019 12:15,13-06-2019 12:30,NAN
13-06-2019 12:30,13-06-2019 12:45,NAN
13-06-2019 12:45,13-06-2019 13:00,NAN
13-06-2019 13:00,13-06-2019 13:15,NAN
13-06-2019 13:15,13-06-2019 13:30,NAN
13-06-2019 13:30,13-06-2019 13:45,13
13-06-2019 13:45,13-06-2019 14:00,17
13-06-2019 14:00,13-06-2019 14:15,26
13-06-2019 14:15,13-06-2019 14:30,34
13-06-2019 14:30,13-06-2019 14:45,36
13-06-2019 14:45,13-06-2019 15:00,37
13-06-2019 15:00,13-06-2019 15:15,38
13-06-2019 15:15,13-06-2019 15:30,40
13-06-2019 15:30,13-06-2019 15:45,40
13-06-2019 15:45,13-06-2019 16:00,41
13-06-2019 16:00,13-06-2019 16:15,43
13-06-2019 16:15,13-06-2019 16:30,45
13-06-2019 16:30,13-06-2019 16:45,47
13-06-2019 16:45,13-06-2019 17:00,49
13-06-2019 17:00,13-06-2019 17:15,49
13-06-2019 17:15,13-06-2019 17:30,50
13-06-2019 17:30,13-06-2019 17:45,51
13-06-2019 17:45,13-06-2019 18:00,52
13-06-2019 18:00,13-06-2019 18:15,51
13-06-2019 18:15,13-06-2019 18:30,52
13-06-2019 18:30,13-06-2019 18:45,52
13-06-2019 18:45,13-06-2019 19:00,53
13-06-2019 19:00,13-06-2019 19:15,55
13-06-2019 19:15,13-06-2019 19:30,56
13-06-2019 19:30,13-06-2019 19:45,56
13-06-2019 19:45,13-06-2019 20:00,59
13-06-2019 20:00,13-06-2019 20:15,62
13-06-2019 20:15,13-06-2019 20:30,66
13-06-2019 20:30,13-06-2019 20:45,72
13-06-2019 20:45,13-06-2019 21:00,77
13-06-2019 21:00,13-06-2019 21:15,82
13-06-2019 21:15,13-06-2019 21:30,85
13-06-2019 21:30,13-06-2019 21:45,88
13-06-2019 21:45,13-06-2019 22:00,89
13-06-2019 22:00,13-06-2019 22:15,86
13-06-2019 22:15,13-06-2019 22:30,80
13-06-2019 22:30,13-06-2019 22:45,72
13-06-2019 22:45,13-06-2019 23:00,62
13-06-2019 23:00,13-06-2019 23:15,54
13-06-2019 23:15,13-06-2019 23:30,48
13-06-2019 23:30,13-06-2019 23:45,43
13-06-2019 23:45,14-06-2019 00:00,NAN
14-06-2019 00:00,14-06-2019 00:15,39
14-06-2019 00:15,14-06-2019 00:30,39
14-06-2019 00:30,14-06-2019 00:45,39
14-06-2019 00:45,14-06-2019 01:00,38
14-06-2019 01:00,14-06-2019 01:15,38
14-06-2019 01:15,14-06-2019 01:30,39
