0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
197.91,191.43,185.28,186.87,162.59,146.3,138.5,135.02,128.33,96.2,68.72,71.73,80.58,70.9,61.1,50.17,50.21,51.27,50.63,45.23,48.06,60.88,54.61,46.33
48.45,41.96,42.63,51.21,56.67,53.97,69.84,79.93,82.62,91.5,74.77,54.9,53.02,61.79,65.39,61.2,63.01,54.48,62.17,72.28,67.57,83.61,104.97,123.68
140.34,115.39,108.88,107.55,88.18,76.4,67.37,61.09,63.55,64.8,77.42,92.81,84.37,76.53,73.65,70.34,64.68,47.95,36.31,33.79,44.29,62.8,66.96,65.03
59.45,56.2,56.99,53.34,62.03,63.58,53.88,58.82,68.03,68.34,69.34,58.55,61.37,51.6,44.38,52.05,54.11,45.76,43.6,42.29,55.54,79.34,77.97,79.06
90.3,98.92,86.93,76.02,79.37,81.28,82.75,80.33,80.74,95.77,93.15,84.85,75.47,59.48,47.73,49.14,53.46,57.86,68.68,74.52,73.74,78.52,93.63,96.88
107.1,104.52,108.56,102.09,90.11,83.63,84.02,83.67,85.7,109.93,126.33,98.68,85.57,77.88,68.43,65.66,74.5,76.16,84.25,67.14,47.58,39.06,37.88,33.86
51.26,43.99,44.5,45.27,41.08,45.66,55.08,64.92,57.3,63.76,72.44,61.85,65.86,63.79,62.7,72.27,81.64,81.17,64.25,58.82,43.81,38.44,46.18,47.27
45.59,57.69,57.89,63.83,63.25,53.36,53.69,58.69,54.9,56.22,76.92,47.24,18.3,23.75,23.96,24.26,29.64,36.24,39.25,43.72,52.36,56.52,55.83,66.14
72.53,82,84.45,87.7,118.09,111.15,111.02,109.11,109.33,121.99,140.56,118.9,79.33,52.95,41.35,34.49,34.11,40.83,44.7,43.16,59.77,76,82.7,89.94
84.23,105.05,100.36,84.61,89.2,91.15,95.27,96.04,87.62,80.93,97.22,82.17,67.88,57.55,58.72,48.27,45.82,44.78,38.6,56.52,79.75,94.61,102.2,94.1
88.32,80.41,82.99,77.25,87.63,92.86,95.15,82.8,94.2,100.52,107.56,109.19,116.97,117.5,105.52,79.88,65.14,70.33,62.49,62.51,75.16,59.49,43.73,42.06
52.77,47.12,53.84,61.5,49.93,52.98,52.98,59.96,61.58,49.09,44.1,51.65,41.89,36.16,43.34,36.9,35.79,81.94,71.47,49.72,52.88,64.22,72.61,95.88
133.64,121.4,139.36,162.03,150.16,146.16,117.34,39.11,42.7,97.49,114.48,107.62,92.03,82.16,82.09,76.16,76.72,75.38,61.55,82.81,91.56,85.51,99.92,85.44
56.88,67.85,77.5,72.54,63.4,71.25,69.56,78.19,81.44,73.79,86.21,68.41,57.11,53.86,42.02,32.91,35.27,62.5,68.95,65.2,51.81,64.64,90.83,107.93
88.8,101.12,104.56,97.46,92.39,78.7,70.44,77.04,77.6,82.15,94.39,92.78,76.13,58.32,43.2,43.43,46.42,43.21,42.53,44.91,54.1,58.52,73.34,100.06
134.64,135.88,135.04,135.13,137.07,123.2,103.72,100.84,90.16,85.93,95.12,78.04,56.44,49.48,42.71,42.45,54.44,51.97,49.65,56.23,63.08,73.81,85.56,100.18
103.83,101.67,93.66,97.03,108.63,95.55,101.7,110.3,112.06,118.53,115.46,93.83,78.47,70.92,64.2,55.83,63.75,59.15,49.79,63.25,91.02,102.8,114.69,128.31
114.91,75.58,95.71,94.85,90.15,82.04,83.03,82.33,89.25,99.7,96.28,75.34,62.87,55.65,19.68,21,34.72,50.41,47.66,67.18,89.25,80.79,93.97,90.5
110.7,114.36,93.3,64.94,75,70.73,80.63,108.72,80.79,65.17,89.93,76.81,58.78,53.61,54.1,45.1,49.97,55.62,50.16,64.86,75.81,88.34,99.08,110.33
120.37,120.14,120.49,109.39,94.81,102.82,96.82,80,86.68,83.3,77.52,78.41,77.1,72.15,88.08,77.48,76.68,78.44,72.66,85.07,88.91,74.68,92.27,126.21
111.94,103.38,108.91,103.54,87.61,87.84,100.95,78.53,52.88,67.38,132.36,105.37,91.48,76.31,76.62,65.33,57.3,65.73,53.6,76.63,74.22,47.39,83.82,115.88
140.18,109.18,106.56,116.64,109.78,82.34,136.51,133.03,88.94,92.29,122.08,120.35,103.33,94.77,104.51,99.96,113.37,95.01,69.95,81.04,108.52,143.38,174.88,191.53
259.17,224.77,206.5,221.15,198.14,195.35,203.93,194.36,128.45,117.53,121.75,119.95,91.14,84.88,84.16,60.41,46.08,46.7,46.75,45.23,41.4,56.61,62.59,92.35
154.11,143.39,145.56,148.45,153.77,165.35,180.99,176.54,116.23,98.22,86.15,77.73,66.8,56.17,50.29,40.17,33.11,42.55,51.67,41.43,57.83,68.35,67.85,78.38
114.13,111.73,108.48,98.47,88.81,93.06,96.37,99.7,72.7,58.43,82.23,90.13,79.02,75.99,59.27,50.38,41.27,64.12,64.82,62.33,87.28,88.88,88.14,107.75
149.63,156.97,137.56,139.11,150.72,161.34,208.24,227.55,152.95,114.44,100.48,105.57,76.24,64.69,58.56,55.73,69.51,55.19,49.85,66.52,81.52,81.87,143.24,141.21
113.06,119.1,147.28,189.87,187.61,181.97,195.13,137.16,90.26,103.39,101.07,99.97,91.1,69.51,66.37,51.44,52.2,56.62,50.2,60.05,54.72,67.69,126.72,159.25
226.32,246.53,211.2,200.02,206.13,192.85,193.04,130.33,83.05,76.38,81.76,86.87,81.29,71.84,68.26,64.46,51.83,66.9,77.2,77.27,76.84,106.55,101.4,101.88
98.02,107.26,96.26,119.72,113.91,107.15,96.19,97.54,105.46,114.94,83.14,72.91,36.66,45.85,None,None,None,0,56.93,59.57,108.53,166.31,182.47,188.62
188.45,196.04,179.96,159.83,151.66,149.79,152.19,162.38,176.05,183.34,173.94,159.83,140.86,111.65,87.67,70.26,55.63,66.35,65.82,61.36,68.05,74.67,75.69,83.23
115.31,88.95,86.13,65.39,72.71,65.1,77.13,85.32,85.68,83.45,86.98,64.17,79.23,74.62,60.38,60.84,64.97,53.22,43.31,54.03,77.1,69.39,72.57,83.91
86.71,91.03,98.72,106.76,110.81,104.28,99.58,95.73,91.32,100.48,75.02,48.39,52.92,61.4,52.66,47.47,49.03,60.3,48.44,55.26,87.25,80.4,71.5,81.97
67,74.29,64.14,64.49,69.33,66.97,56.77,62.04,69.16,81,87.72,93.92,80.47,61.59,55.28,44.66,46.59,60.77,69.04,57.47,58.25,72.19,72.06,69.28
73.62,101.85,86.14,96.22,104,93.38,95.76,105.63,76.35,91.23,101.97,100.16,91.99,72.99,62.33,45.89,43.58,56.07,53.52,64.5,61.34,71.98,90.33,101.03
124.89,130.65,132.49,138.01,118.64,110.21,109.45,119.65,139.85,168.48,133.17,83.64,54.74,62.88,68.26,69.15,60.12,62.79,52.7,61.96,80,89.1,121.07,132.3
133.2,122.89,106.32,89.75,108.04,100.74,97.43,72.02,73.12,80.94,73.09,82.45,77.82,71.52,60.35,57.24,47.45,55.42,63.33,71.24,95.35,93.77,129.8,151.22
224.91,237.77,211.84,189.81,164.19,157.66,155.28,136.56,116.12,97.88,97.16,102.17,83.9,80.11,64.89,59.71,58,67.63,53.13,56,79.31,111.07,154.22,217.78
268.36,209.09,175.06,157.9,130.93,151.49,182.44,161.37,183.7,157.35,139.53,115.08,91.56,74.13,65.21,43.01,64.37,76.15,75.42,90.23,90.5,114.17,120.2,122.48
108.98,103.08,120.99,123.13,128.95,137.32,124.46,147.9,124.3,137.18,125.57,122.64,124.51,87.84,71.37,50.97,65.1,81.77,83.92,88.91,106.03,125.63,135.72,129.47
128.26,136.99,128.24,117.36,110.57,99.37,78.01,82.42,76.01,75.71,96.47,89.75,63.92,57.75,65.03,56.15,60.84,62.43,65.55,76.85,79.97,73.83,79.38,90.7
