0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
60.25,55.25,46,48,41.25,41,47.75,86.5,118.25,118.75,89.25,82.5,65.5,44,31,38,34.25,32.25,35.75,44.5,46.75,59.5,87,73.25
52.75,63.75,76.5,84.5,97.5,82.25,81,95,101.5,103,102.25,82.5,60.75,58.25,48,40.25,41,42.25,30,33,52,80.5,81.75,82.25
83.25,80.25,100.75,103.5,110.75,93.75,82.5,96.25,114.5,100,78.5,58.75,32,31.25,34.5,38.5,30.25,31.75,33.5,45.5,50.25,61.25,74.5,99.25
88.25,81,65,69.5,83.5,85,114.75,93.25,84.25,80.5,67.25,63.75,67.5,39.75,32.25,28.75,30.75,29.25,35.5,39.75,56,83.25,114.25,145.5
131.5,133.5,145,126,144,206.75,252,210.5,162.5,115,79.75,50.5,73,52,49.5,65.25,63.25,46.75,52.75,65,85.5,112.5,150.25,175
154,148.25,170.25,175.25,169.25,162.75,171.25,208.5,179,128.75,97.5,62.5,42.25,54,56.75,45.5,64.75,67,88.25,114,126.25,142.25,146.75,142.5
166,184.5,184.25,185.25,183,159.5,153.75,186.75,202,149,77.5,350,223.5,NAN,13,25.25,74,80.75,93,114.5,128.75,149,150.75,146.75
139.25,126.5,108.5,107,93,79.75,59.5,47,36.25,33.25,28.75,28.5,14,NAN,NAN,NAN,NAN,NAN,7,20.25,29.25,42.5,42,51.25
45.25,37,29.5,34,41.25,66.5,135.5,146.75,134.5,100.75,72.25,47.5,25,29.5,42.75,43.75,43.25,51.5,40,44.25,56.5,70.5,82.75,93.25
81.5,89.25,96.75,80,100.25,190,176.25,186.25,189.25,128.75,94.75,81.75,94.25,48,32,54.75,46.25,52.5,37.5,61,69.25,92.25,108,70.5
78.25,83,94.75,93.5,117.5,126.5,97.25,78.5,82.75,75.5,58.5,45.5,74.5,74.5,48.25,52.25,24.75,38,52.25,62.5,88,134,145.25,183.5
200.75,218,224.5,238,239.75,235.75,304.75,331.5,289.75,188.75,105.5,78.5,90.5,59.5,17.5,15.5,28,65.25,30.5,117.75,159.25,124.5,96.25,115.25
141.5,134.75,146,193,218.25,237.25,229.75,222.5,219,137.75,45.5,NAN,NAN,NAN,NAN,31.75,92.5,49,35.75,57.25,94.5,125,141.5,90.5
36,39,66,83,108,119,125.5,152.5,166.25,183.5,202,155.75,108.75,80,44,30.5,24.5,41.25,49.25,63.5,77,113.25,159.5,182
186,174,169,230.5,265,245.5,194.25,182,164.25,147.75,181.25,187,165.25,132,105.25,79.5,75.75,79,78,93.5,164,580,140,NAN
13,27.25,48.5,61.5,63.5,65,74,73.75,77.25,98,106.5,102.5,101.5,86.25,77,65,80.75,84.75,74,67.5,244,123.5,NAN,NAN
38.5,53,77.5,98.5,108.25,91,106.75,106.25,80.25,64.75,74.5,87.5,67.75,59.75,73.5,62.75,61,59.75,68.25,88.25,135.75,150.25,169.5,197.25
197,206.5,210.5,241,372.75,233.75,NAN,17,62.25,88.25,88.5,67,39.5,13,30.25,29.5,25.25,20.75,30,40.25,53.5,70,86.25,101.5
101.75,101.75,89.25,84.75,85.25,78.75,98,114.5,100.25,81.75,52.25,48,56.75,46.5,38.25,54.5,44.5,38.5,31.25,46.5,51.75,72,74,69.25
59,61.25,61,62.75,82.25,70,68.75,60,72.25,78,91.75,98,84.25,71,56.75,50.75,46.25,50.25,34.5,40.25,69.5,85.5,87.75,108
97.75,71.25,52,55.25,46,43.25,43.5,66.25,59.75,53.25,53.25,38.75,44.75,38.25,29.5,30,33.75,43,47.25,51.75,58.75,52.5,49.25,31
23.75,28.5,35.75,49.75,42.25,43.75,50.75,70.75,70.75,100.25,75,41.5,36.75,43,45.25,21.75,29.5,30.5,26.5,36.75,56.75,64.5,61,50.25
53,44,44,38,38.5,38.25,35.5,39,49.75,66,69.5,45.75,25,24.25,22.75,27,42.5,41.25,41,52,80.75,110.25,103.25,119.5
243.75,275,81.25,50,45.75,48.25,65.25,54.75,61.75,58,62.25,66.5,69.5,56.75,65.5,68.5,55,47.25,54.25,50.5,52.5,44,21.25,NAN
13.25,13,13,17.75,15.75,14.5,27,38.5,40.5,38,40.5,58,54.75,50,45.75,38.5,35.75,19.25,13.75,20.25,25.75,30,35,28.5
38.75,41,34.75,42.75,36.75,53.5,49.25,66,69,56,34.25,29,28,NAN,NAN,NAN,NAN,13,23.75,39,53.25,55.75,69,77.25
72.75,84,95,109.5,101.5,95.25,96.75,94,68.75,44.75,46.5,39.5,39.5,38,37,36.25,37.5,37.5,36.25,38,49.25,59.25,78.5,102.25
124.5,116,117,158.25,156.25,162.25,156.5,169.25,166.5,99.5,52.5,37.5,40,44.25,42.5,46.25,47.5,45.25,42,50,58,61.25,67.5,74
91.5,134.25,243,227.5,202,217.75,217,170.75,108.25,63.25,49,44.25,38,39.5,41.75,34.75,35,35.75,40.75,55.5,77.25,100.75,116.5,124
146.25,141.25,138.25,169.5,188,218.75,243.5,321.75,305.25,246.25,143.5,66.5,66,70,69.5,65.25,51.75,52.75,55.75,64.75,83.75,121.75,142,141.5
139.25,155.75,131.5,138.5,149.25,162,169.25,174.5,158.75,143,86.5,61.5,74.25,84.25,80.75,69.5,64,63.75,67.25,80.5,104.5,122.25,110.75,108
112.25,122.5,110.25,96.5,95.75,108.25,96.75,96.5,105.75,95.5,98.25,75,97.25,92.5,90.5,82.25,74.5,64.25,66.25,94.75,131,150.5,146.75,134.25
152.25,144,125.5,105.5,99.25,94.75,92.5,93,98.5,109,111.5,115.5,103,93.75,77,78.25,98.25,104.5,85.25,78,70,70,62.75,61.75
68.25,81.75,120,112.5,101.25,83.75,89,102.5,114.25,112.5,83,81.5,93.5,85.75,78.5,67.5,66.75,70,67.25,71.25,72,NAN,NAN,NAN
72,72,72,72,72,72,72,72,72,72,72,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,81,67.25,58,60,64.5,69.75,65.75,71,81.25,95.5,116.75,145.75,197.75
177,164,169.75,147.25,123.5,111.75,116.75,117.5,140,112.75,103,92,70,69.5,71.75,70.5,70.5,69.75,74.25,88,102,114.25,125.25,123.75
126.5,144.75,143.25,137.25,138.75,156,168.25,114,124.75,155.25,164.5,152.25,127.5,140,135.75,113.25,106.5,98.5,86.25,99,121.25,126.75,128.75,128
120.75,139,140.5,89.75,74,83.25,63.25,60.5,52.75,59.25,76,94,101.5,75,93,77.75,77,71.25,53,52.25,55.75,80.25,71,52.75
42.5,41,37.5,32.25,35.25,62.5,109.75,108.25,102.25,70.75,52,50.5,51,55,53,58,59,60,63,44.5,43.5,45.75,53,66
67,82,91,88.75,91.25,113.75,134.5,123.75,106,78,48.5,54.5,63.75,46.25,39,39.75,43.75,45.25,42.75,50.5,67,86.25,105.25,116.75
116.5,101,97.25,99.75,94.75,93,109.25,164.5,196.5,210.25,136,83,55.25,45.5,44.5,40,50.75,61,62,66.75,77.25,98.75,114.75,109.25
108,111.5,153.5,170.75,159.75,163,150,108.5,73,80.5,108.5,120.75,94.75,64,56.5,55.75,63,73.75,66,69,92.25,120.5,159.25,161.25
152.5,139.75,134,150.75,201.75,206,208.25,187.25,134.75,80,68.25,72.5,0,10.25,32.5,77,75.25,66.25,62.5,67.5,94,95.5,108,106
122.75,127,133.25,130.75,154.25,177,143.25,122.25,153.75,117,82.5,86.5,104.75,82.25,68.75,58.75,53.25,58,63.5,69.5,81.25,113,156.25,182.5
183.25,199.5,223.25,200.5,159,96.25,64,56,63.5,84.75,75.25,51,NAN,NAN,77.5,61.5,63.25,NAN,83.25,88,97.25,126,143.25,156.75
140.75,108,104.5,110.25,83.25,58.75,47,57.25,69.25,78,78,73,66.5,60.25,58.75,55,50.75,51.75,53.25,79.5,94,75.25,79,92.75
115,106.75,95.25,92.75,101.25,95,89,120,176.25,176,132.5,102,73.5,56.25,56,61.5,62,57.75,64.5,81,116.5,137,149.5,166.25
175.25,188.5,185,187.25,210.5,251,232.5,228,202,140.75,116,122.75,115.25,102.75,84,66.5,68.25,76.5,82.5,92.5,111.5,131,134.5,141.75
184.75,232.5,233.25,224,317.25,299.5,261.5,365.25,426.25,398.25,379.75,209.25,122.25,97,105.5,118.5,107.25,99.25,68.5,50.25,40.5,43,46.75,39.5
43.75,42.75,45.75,45.25,41,63.5,70.75,76.5,74,77.75,78.25,71.75,66,50,39,39.25,35.75,36.75,43.75,46.5,58,81,96.25,129.5
166.5,185.25,165.75,169,196.25,155,130.5,133.5,121.5,82.25,73,56,58.75,47.75,43.5,47.5,44.25,41.5,42.5,53,67.25,83.25,87,89.75
85,85.5,142,220.25,172.75,137.5,87.25,47.75,28.75,27.5,41.25,47.5,37,41.75,58,66.25,42.25,31.75,41,47.75,53,72.25,83,91.25
98.5,112.25,106.75,85.25,83.25,77.5,66.5,87.75,94.75,115.5,111,85,65.5,55,50.75,45.5,43.25,40,46,44.75,41.5,39,22.75,23
27.5,30.25,33,34,37.75,45.75,41.75,33,43.75,36.75,37.75,37.5,46.25,50.25,46,44,47.5,42.75,39,43,47.75,57.5,65,62.75
