0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
207.34,237.69,160.38,151.78,189.73,192.09,181.75,153.81,116.88,143.19,126.77,74.57,72.86,46.93,44.14,36.91,35.85,37.35,40.34,55.98,78.29,88,112.78,126.62
119.56,102.43,118.51,135.61,188.39,177.31,152.81,140.78,147.31,161.42,137.88,101.61,88.87,75.89,74.48,57.09,60.8,44.41,75.38,82.21,29.48,NAN,NAN,32.38
48.3,47.98,50.79,46.56,79.33,60.45,58.46,56.5,73.35,91.92,71.46,61.53,70.43,69.55,78.04,78.65,77.42,62.77,48.35,45.47,49.46,37.77,42.22,57.26
36.89,39.26,41.65,36.64,52.28,50.18,52.29,63.67,50.8,52.83,39.32,36.11,26.93,28.31,33.77,30.29,34.11,32.83,24.37,33.25,36.7,63.01,68.72,63.91
63.85,73.65,85.11,105.02,119.62,144.07,174.39,276.64,348.26,257.85,160.21,80.69,47.51,45.89,52.67,40.16,33.82,34.22,43.62,58.69,81.62,91.8,104.14,127.76
132.02,123.07,112.77,97.75,95.13,88.92,84.41,164.21,222.98,215.46,135.47,NAN,NAN,50.01,44.11,36.2,25.67,25.84,32.69,50.34,73.66,131.26,122.44,115.79
111.74,88.03,91.06,92.82,95.94,108.62,137.32,138.05,156.84,244.92,284.88,246.23,198.14,166.01,127.59,105.46,89.66,87.34,97.84,111.34,126.37,85.55,83.31,87.64
76.61,77.5,65.54,61.89,93.43,74.34,77.13,69.09,68.37,81,82.61,47.92,30.08,36.64,47.14,41.33,44.32,52.91,61.17,74.73,109.62,81.97,122.06,147.62
138.53,155.69,165.01,134.09,112.72,123.08,130.11,141.52,122.52,179.27,146.41,96.01,77.32,80.66,73.38,56.83,54.29,57.74,55.41,70.88,128.99,115.64,79.34,51.94
59.49,100.33,123.21,103.61,87.2,87.03,120.26,122.46,126.98,138.32,105.14,83.88,64.46,48.34,41.63,31.27,33.51,38.85,39.51,51.84,81.18,140.88,142.97,159.79
153.15,140.83,109.27,117.45,120.69,148.63,152.2,163.01,174.5,160.2,109.38,103.1,58.9,40.59,30.86,30.31,25.32,29.59,30.09,45.19,62.12,87.57,93.28,90.16
124.25,124.1,130.59,134.51,175.22,184.92,221.74,227.02,187.67,239.49,149.95,92.99,49.02,39.75,35.89,36.78,42.62,40.74,39.47,45,63.7,87.78,125.51,113.34
100.57,100.17,97.18,102.12,105.82,104.78,100.5,105.39,144.71,136.95,141.59,115.64,59.92,49.95,47.84,47.64,52.22,46.83,41.69,48.8,81.7,105.53,109.25,101.97
86.84,76.79,86.2,91.64,102.47,97.67,189.5,151.66,167.69,131.26,85.51,62.28,40.98,45.15,35.95,31.33,30.99,29.66,31.23,36.18,57.17,103.52,107.16,101.24
91.14,98.78,118.69,144.76,150.98,135.74,150.27,164.77,188.17,154.52,81.16,56.88,44.33,34.83,29.41,24.97,24.71,26.3,32.16,41.06,52.84,68.46,99.19,129.41
133.96,153.74,124.5,107.63,129.32,110.13,123.22,126.27,115.44,91.83,64.89,55.76,51.23,48.38,51.78,43.16,45.75,45.39,47.94,61.73,71.13,106.88,92.19,87.3
91.94,76.28,79.41,62.18,48.88,72.68,68.22,59.45,53.82,48.87,39.76,66.13,68.53,46.55,27.01,26.54,30.34,40.19,47.05,63.72,52.23,60.68,72.01,75.36
68.07,75.3,68.63,74.05,80.27,75.33,80.78,97.3,132.9,124.28,115.5,66.82,60.56,56.74,65.68,70.01,58.33,49.3,55.22,63.89,83.41,110.4,128.55,142.6
132.88,123.45,145.05,139.77,133.66,148.13,142.49,153.18,155.85,174.31,160.51,104.59,95.49,65.43,35.45,25.42,26.35,29.73,31.33,31.54,41.59,56.84,72.19,65.98
93.56,104.38,88.55,90.87,94.07,152.98,154.23,184.46,179.3,183.94,123.29,66.39,46.1,42.18,32.25,27.99,25.38,28.27,33.23,44.53,81.42,123.17,96.89,96.96
82.22,98.7,85.3,68.03,91.05,96.19,96.87,113.81,111.93,118.12,93.48,70.74,58,42.31,36.73,37.36,33.4,37.98,38.04,50.41,77.48,94.46,114.5,108.05
119.18,112.51,124.5,119.83,202.49,239.56,251.23,270.35,238.99,194.31,124.59,64.88,45.41,37.3,33.27,31.34,30.05,33.31,32.59,48.35,64.75,93.16,113.51,102.87
104.11,108.39,107.75,190.07,219,220.43,233.82,233.12,255.89,239.52,157.04,82.28,65.28,48.99,40.2,NAN,NAN,44.1,42.31,66.68,84.51,72.65,84.46,130.64
141,104.42,100.39,114.46,159.39,208.25,170.95,224.23,272,245.39,195.7,157.39,107.43,54.23,42.16,44.41,36.22,35.44,40.05,42.94,50.95,93.61,116.88,137.34
125.92,140.89,192.66,265.92,187.22,157.38,114.47,95.22,97.2,81.66,58.88,38.22,44.23,47.08,42.44,39.45,42.57,47.03,53.07,55.84,61.08,76.83,84.97,98.23
116.44,188.91,183.87,180.41,175.69,165.63,174.4,177.38,172.74,127.06,105.45,80.11,70.68,33.73,25.84,33.47,36.26,32.68,32.77,34.7,51.8,52.2,50.15,55.37
70.25,49.7,36.07,35.76,35.85,38.33,41.86,36.66,74.74,56.81,37.45,27.62,24.9,26.67,22.55,22.09,NAN,35.79,24.71,34.2,53.77,72.59,88,121.59
136.99,115.09,116.06,93.29,81.27,92.44,105.4,122.62,104.38,90.16,65.43,52.56,40.65,28.65,25.65,27.21,28.1,25.01,28.45,41.34,55.32,81.74,76.51,66.79
64.06,42.84,35.62,34.25,37.6,42.65,69.32,115.11,142.43,163,90.67,67.32,47.57,34.69,29.47,29.47,26.41,30.11,27.93,33.83,40.84,47.14,61.14,58.22
72.91,108.3,103.16,106.67,110.12,102.99,93.94,116.92,117.54,102.54,89.3,70.81,NAN,37.27,33.01,32.51,30.81,31.45,37.46,44.38,48.38,59.03,80.76,75.34
71.07,76.52,157.77,167.69,162.56,169.76,139.71,136.13,169.5,138.21,89.18,63.13,45.55,40.11,33.67,34.91,33.83,31.87,31.4,38.63,65.8,93.35,116.38,144.26
148.13,124.43,110.86,93.67,102.55,127.41,225.16,260,220.33,159.67,144.89,98,49.32,39.68,32.82,32.69,30.46,29.57,32.72,54.45,65.14,93.56,130.01,127.78
106.09,103.92,181.91,160.93,254.94,319.75,381.36,364.4,327.37,234.59,115.95,81.92,51.27,55.74,52.96,42.32,51.43,37.79,34.04,51.27,56.56,69.71,105.14,126.38
153.56,149.3,146.27,134.25,139.13,157.75,153.74,186.38,252.54,221.48,161.36,120.27,62.23,61.3,51.83,56.54,42.19,38.06,45.56,57.63,71.12,75.72,102.21,93.42
126.38,133.47,132.12,138.5,144.77,141.27,141.76,174.94,204.12,200.88,123.29,84,70.88,55.94,44.34,49.6,56.46,57.6,54.95,73.09,81.85,85.73,79.4,81.14
81.71,91.14,90.39,77.25,69.18,62.33,62.23,74.39,75.16,81.64,51.43,42.69,33.59,30.7,25.86,21.17,NAN,21.68,23.2,34.03,50.44,47.99,48.4,62.44
51.84,33.74,31.63,18.3,63.28,71.47,106.93,105.59,121.06,110.71,94.85,74.86,37.93,25.68,12.37,0,0,0,0,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,135,72.58,86.03,102.66,158.88
127.78,134.02,195.81,160.03,156.54,167.64,193.82,175.3,197.5,294.08,146.86,89.1,60.45,80.46,60.67,46.23,44,55.84,52.57,73.67,69.53,90.81,145.6,126.7
102.56,100.13,134.89,162.6,152.06,162.35,168.91,181.62,212.06,188.06,107.17,123.74,87.26,74.77,85.48,83.86,59.78,29.59,34.5,58.57,91.61,181.98,139.66,171.52
115.93,98.66,119.98,117.84,136.32,210.72,122.14,134.6,138.94,165.7,154.87,121.09,97.2,82.63,65.21,44.05,42.7,42.24,39.5,46.95,55.04,100.92,123.08,142.03
173.63,163.85,182.13,196.69,183.4,232.08,202.65,236.2,280.75,116.04,139.52,163.09,141.03,118.92,99.71,75.4,70.04,61.59,55.65,68.19,105.25,414.89,320.28,85.82
45.48,49.83,68.41,92.87,90.71,71.92,75.04,101.91,99.53,116.35,105.27,103.82,96.68,76.75,63.91,59.86,62.04,53.05,38.12,42.88,55.83,68.44,81,123.06
149.51,171.87,191.22,240.87,202.88,191.36,199.18,207.38,182.18,90.68,57.78,54.1,67.72,55.46,NAN,62.03,55.31,44.84,50.97,61.58,73.38,106.91,130.26,121.44
142,153.24,155.37,152.94,161.57,191.65,205.01,225.69,139,88.98,72.28,61.27,49.97,36.27,34.18,30.68,31.24,32,33.66,60.39,76.19,108.92,81.51,60.5
56.81,65.73,75.69,67.61,81.17,81.91,105.15,122.25,143.88,136.91,82.22,78.58,68.37,50.87,43.59,48.17,39.66,36.37,32.75,40.55,51.48,71.72,74.87,77.87
77.81,81.13,49.14,64.1,69.82,56.11,62.68,61.2,42.45,50.02,43.29,57.39,49.52,43.17,86.78,33.82,29.06,24.54,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,NAN,NAN,33.28,50.19,38.99
